IDTDOC,IDEPAIS,IDESTGEN,EDAD,IDCODEMUNI,IDCODEDEPTO,IDCOLCALEN,IDCOLGEN,IDCOLNATU,IDCOLBILIN,IDCOLCARAC,IDDESING,IDDESMATH,IDPUESTO
1,1,2,26,76111.0,76.0,2,1,2,0.0,3,4,7,1
1,1,1,26,52001.0,52.0,1,1,1,0.0,1,2,7,1
3,1,2,18,52678.0,52.0,1,1,1,0.0,1,3,7,1
1,1,1,20,41668.0,41.0,1,1,1,0.0,1,4,7,1
1,1,2,21,68001.0,68.0,1,1,1,0.0,3,5,7,1
1,1,2,18,73001.0,73.0,1,1,1,0.0,2,3,7,1
1,1,2,24,76001.0,76.0,3,1,2,0.0,1,3,7,1
1,1,2,21,73001.0,73.0,1,1,1,0.0,1,3,7,1
1,1,2,18,17001.0,17.0,1,1,1,0.0,1,3,7,1
1,1,1,22,17001.0,17.0,1,2,2,0.0,2,4,7,1
1,1,2,23,76001.0,76.0,2,1,2,0.0,3,4,7,1
1,1,2,22,76001.0,76.0,2,1,2,0.0,3,5,7,1
1,1,2,18,76001.0,76.0,1,1,2,0.0,3,3,7,1
3,1,1,16,76400.0,76.0,1,1,2,0.0,2,5,7,1
1,1,1,23,41551.0,41.0,1,1,1,0.0,1,3,7,1
1,1,2,23,11001.0,11.0,2,1,2,1.0,1,6,7,1
1,1,2,24,41001.0,41.0,1,1,1,0.0,1,4,7,1
1,1,1,24,52685.0,52.0,1,1,1,0.0,1,3,7,1
1,1,1,23,41524.0,41.0,1,1,1,0.0,1,4,7,1
1,1,2,18,15238.0,15.0,1,1,2,0.0,1,4,7,1
1,1,2,44,68001.0,68.0,1,1,1,0.0,3,3,7,1
1,1,2,18,68001.0,68.0,1,1,1,0.0,1,6,7,1
1,1,2,30,68001.0,68.0,1,1,1,0.0,1,5,7,1
1,1,1,23,54001.0,54.0,1,1,2,0.0,1,4,7,1
1,1,1,20,76520.0,76.0,2,2,2,0.0,1,6,7,1
1,1,2,36,52356.0,52.0,1,1,1,0.0,1,4,7,1
1,1,1,18,76001.0,76.0,1,1,1,0.0,1,3,7,1
1,1,1,18,17001.0,17.0,1,1,1,0.0,1,3,7,1
1,1,1,26,52678.0,52.0,1,1,1,0.0,2,3,7,1
1,1,1,19,52683.0,52.0,1,1,1,0.0,1,5,7,1
1,1,1,19,52019.0,52.0,1,1,1,0.0,3,3,7,1
1,1,1,24,52693.0,52.0,1,1,1,0.0,2,2,7,1
1,1,2,18,76001.0,76.0,1,1,1,0.0,2,4,7,1
1,1,2,34,76364.0,76.0,1,1,1,0.0,2,4,7,1
1,1,2,18,11001.0,11.0,1,1,2,0.0,1,6,7,1
1,1,1,54,11001.0,11.0,1,2,2,0.0,1,5,7,1
1,1,2,32,11001.0,11.0,1,3,2,0.0,1,6,7,1
1,1,2,19,11001.0,11.0,1,3,2,0.0,1,5,7,1
1,1,2,20,11001.0,11.0,1,1,1,0.0,2,5,7,1
1,1,2,56,11001.0,11.0,1,1,1,0.0,1,3,7,1
1,1,1,19,52022.0,52.0,1,2,1,0.0,3,3,7,1
1,1,1,18,76001.0,76.0,1,1,1,1.0,1,5,7,1
1,1,2,20,76001.0,76.0,1,1,1,0.0,1,4,7,1
1,1,2,27,52352.0,52.0,1,1,1,0.0,1,3,7,1
1,1,2,22,81736.0,81.0,1,1,1,0.0,3,5,7,1
1,1,2,44,11001.0,11.0,1,1,1,0.0,1,3,7,1
1,1,2,18,19001.0,19.0,1,1,1,0.0,1,5,7,1
1,1,1,18,19001.0,19.0,1,2,1,0.0,1,3,7,1
1,1,1,21,76126.0,76.0,2,1,2,0.0,1,4,7,1
1,1,2,18,19001.0,19.0,2,1,2,0.0,1,4,7,1
1,1,1,19,76520.0,76.0,1,1,1,0.0,3,5,7,1
1,1,2,19,17001.0,17.0,1,1,1,0.0,4,3,7,1
1,1,2,57,52001.0,52.0,1,1,1,0.0,1,4,7,1
1,1,2,48,41396.0,41.0,1,1,1,0.0,1,5,7,1
1,1,2,24,52001.0,52.0,1,1,1,0.0,2,6,7,1
1,1,2,21,11001.0,11.0,1,1,1,0.0,1,3,7,1
1,1,2,23,17001.0,17.0,1,1,1,0.0,2,5,7,1
1,1,1,18,41001.0,41.0,1,1,1,0.0,1,4,7,1
1,1,2,23,11001.0,11.0,3,1,2,0.0,5,4,7,1
1,1,1,20,52001.0,52.0,1,1,1,0.0,1,3,7,1
1,1,2,26,52001.0,52.0,3,1,2,0.0,5,4,7,1
1,1,2,24,11001.0,11.0,3,1,2,0.0,5,6,7,1
